"COMP_CODE","ALLOC_YM","DEPAT_SIDO","DEPAT_GUNGU","ARRV_SIDO","ARRV_GUNGU","FRT_WEIGHT","FARE_SUM","FARE_MIN","FARE_MAX","FARE_CNT"
1,"2025-04",충북,청주시,서울,금천구,1000,100000,100000,100000,1
1,"2025-04",충남,태안군,인천,서구,1000,120000,120000,120000,1
1,"2025-04",충남,아산시,경기,화성시,1000,50000,50000,50000,1
1,"2025-04",전남,나주시,충북,충주시,18000,660000,320000,340000,2
1,"2025-04",전남,나주시,충북,충주시,7000,270000,270000,270000,1
1,"2025-04",전남,나주시,충북,충주시,3500,200000,200000,200000,1
1,"2025-04",전남,나주시,충북,충주시,1000,130000,130000,130000,1
1,"2025-04",전남,나주시,충북,청주시,11000,250000,250000,250000,1
1,"2025-04",전남,나주시,충북,청주시,7000,240000,240000,240000,1
1,"2025-04",전남,나주시,충북,청주시,5000,210000,210000,210000,1
1,"2025-04",전남,나주시,충북,청주시,1000,100000,100000,100000,1
1,"2025-04",전남,나주시,전북특별자치도,완주군,7000,150000,150000,150000,1
1,"2025-04",전남,나주시,전북,완주군,11000,180000,180000,180000,1
1,"2025-04",전남,나주시,전북,완주군,5000,280000,140000,140000,2
1,"2025-04",전남,나주시,전북,완주군,3500,240000,120000,120000,2
1,"2025-04",전남,나주시,전북,완주군,1400,80000,80000,80000,1
1,"2025-04",전남,나주시,전남,해남군,2500,100000,100000,100000,1
1,"2025-04",전남,나주시,전남,나주시,7000,250000,250000,250000,1
1,"2025-04",전남,나주시,부산,사상구,1400,140000,140000,140000,1
1,"2025-04",전남,나주시,대전,동구,11000,280000,30000,250000,2
1,"2025-04",전남,나주시,대전,동구,7000,210000,210000,210000,1
1,"2025-04",전남,나주시,대전,동구,5000,400000,200000,200000,2
1,"2025-04",전남,나주시,대전,동구,3500,200000,200000,200000,1
1,"2025-04",전남,나주시,대구,서구,11000,1610000,220000,300000,6
1,"2025-04",전남,나주시,대구,서구,7000,900000,220000,230000,4
1,"2025-04",전남,나주시,대구,달성군,5000,200000,200000,200000,1
1,"2025-04",전남,나주시,광주,북구,11000,390000,130000,130000,3
1,"2025-04",전남,나주시,광주,북구,7000,320000,100000,120000,3
1,"2025-04",전남,나주시,경남,창원시,5000,420000,200000,220000,2
1,"2025-04",전남,나주시,경남,창원시,1400,160000,160000,160000,1
1,"2025-04",전남,나주시,경남,창원시,1000,100000,100000,100000,1
1,"2025-04",전남,나주시,경남,양산시,1400,140000,140000,140000,1
1,"2025-04",전남,나주시,경남,김해시,1000,220000,100000,120000,2
1,"2025-04",전남,나주시,경기,의정부시,7000,250000,250000,250000,1
1,"2025-04",전남,나주시,경기,의왕시,11000,510000,240000,270000,2
1,"2025-04",전남,나주시,경기,의왕시,2500,380000,180000,200000,2
1,"2025-04",전남,나주시,경기,의왕시,1000,120000,120000,120000,1
1,"2025-04",전남,나주시,경기,시흥시,3500,200000,200000,200000,1
1,"2025-04",전남,나주시,경기,김포시,11000,710000,350000,360000,2
1,"2025-04",전남,나주시,경기,김포시,7000,620000,310000,310000,2
1,"2025-04",전남,나주시,경기,김포시,5000,560000,270000,290000,2
1,"2025-04",전남,나주시,경기,김포시,3500,230000,230000,230000,1
1,"2025-04",전남,나주시,경기,김포시,1400,130000,130000,130000,1
1,"2025-04",전남,나주시,경기,김포시,1000,120000,120000,120000,1
1,"2025-04",전남,나주시,경기,고양시,7000,320000,320000,320000,1
1,"2025-04",전남,나주시,경기,고양시,1400,160000,160000,160000,1
1,"2025-04",전남,나주시,강원,춘천시,7000,760000,380000,380000,2
1,"2025-04",전남,나주시,강원,춘천시,3500,280000,280000,280000,1
1,"2025-04",전남,나주시,강원,춘천시,1400,220000,220000,220000,1
1,"2025-04",인천,연수구,서울,구로구,100,20000,20000,20000,1
1,"2025-04",인천,서구,인천,서구,1000,30000,30000,30000,1
1,"2025-04",인천,서구,서울,구로구,100,20000,20000,20000,1
1,"2025-04",서울,중구,서울,구로구,100,10400,10400,10400,1
1,"2025-04",서울,용산구,서울,서초구,1000,9600,9600,9600,1
1,"2025-04",서울,영등포구,경기,화성시,300,45000,45000,45000,1
1,"2025-04",서울,송파구,서울,용산구,100,12000,12000,12000,1
1,"2025-04",서울,송파구,서울,구로구,500,40000,40000,40000,1
1,"2025-04",서울,서초구,서울,용산구,100,9600,9600,9600,1
1,"2025-04",서울,서초구,경기,파주시,1000,60000,60000,60000,1
1,"2025-04",서울,금천구,충북,청주시,1000,100000,100000,100000,1
1,"2025-04",서울,금천구,서울,강남구,100,12000,12000,12000,1
1,"2025-04",서울,금천구,대전,동구,1000,100000,100000,100000,1
1,"2025-04",서울,금천구,광주,서구,1000,200000,200000,200000,1
1,"2025-04",서울,금천구,경남,고성군,1000,220000,220000,220000,1
