ENTER_SAFE_YN,ENTER_SAFE_MEMO,DELIVERY_SAFE_YN,DELIVERY_SAFE_MEMO,MISDELIVERY_YN,MISDELIVERY_MEMO,CLAIM_YN,CLAIM_MEMO,REG_DT,EDIT_DT
N,,Y,,N,,N,,33:13.0,
Y,,N,1시간 늦게 도착,N,,N,,26:56.0,
N,입차시간이 늦어져 하차시간이 늦어졌습니다 ,N,입차시간이 늦어져 하차시간이 늦어졌습니다 ,N,,Y,,36:52.0,
Y,,Y,,N,,N,,50:53.0,
Y,,Y,,N,,N,,50:09.0,
Y,,Y,,N,,N,,49:26.0,
Y,,Y,,N,,N,,48:34.0,
Y,,Y,,N,,N,,48:20.0,
Y,,N,,N,,N,,30:00.0,
Y,,Y,,N,,N,,29:43.0,
N,,Y,,N,,N,,29:19.0,
Y,,Y,,N,,N,,28:48.0,29:10.0
Y,,Y,,N,,N,,28:34.0,
N,,Y,,N,,N,,02:43.0,
N,,Y,,N,,N,,01:50.0,
Y,,N,,N,,N,,01:13.0,
Y,,Y,,N,,N,,00:56.0,
Y,,Y,,N,,N,,52:12.0,
Y,,Y,,N,,N,,00:26.0,
Y,,Y,,N,,N,,00:09.0,
Y,,Y,,N,,N,,33:55.0,
Y,,Y,,N,,N,,33:35.0,
Y,,Y,,N,,N,,31:52.0,
Y,,Y,,N,,N,,31:02.0,
