"STOP_SEQ","ALLOC_NO","STOP_ADDR","STOP_STAFF","STOP_TEL","STOP_TYPE"
625,A1022504151620505,인천광역시 서구 보듬5로 10 (오류동1626-6),"","",A
624,A1022504150226280,경기도 고양시 일산동구 장진천길 30-89 (설문동149-10)윈윈몬스터,"","",A
622,A1022504150842443,경기도 파주시 탄현면 소리개길 214-50(법흥리32-4),"","",A
620,A1022504120050953,충청북도 청주시 흥덕구 오송읍 오송동평길 68(동평리100-1)대원플라스틱,윤영훈과장,"",A
619,A1072504141323075,(2):에스피엔씨:경기 안성시 서운면 제4산단2로 92,"","",A
618,A622504141309047,중앙파이프-경기도 구리시 동구릉로 184,"","",D
617,A6712504140815702,"2.서진타일=경기 고양시 일산동구 식사동1079","","",D
616,A6712504111739826,"2.네추럴웨이2공장=포천시 군내면 용정경제로1길 48-60","","",D
615,A622504111337961,신우개발-여주시 점동면 안평로77,"","",A
614,A622504111039224,"2.세연스틸=구로구 구로동 614-195","","",D
613,A1022504110119480,경기도 안산시 단원구 번영로 142 (성곡동668-7)미페이스,"","",A
612,A7232504102223422,파주 더 운정 힐스테이트 현장,"","",D
611,A6712504101057726,"2.하남창고=하남시 덕풍동620 ","","",D
610,A1022504101847308,김포시통진읍귀전로13-5(귀전리172-5)세림피엔텍,"","",A
609,A622504101121823,"2.삼진레베링=서울 구로구 구일로8길 150","","",D
608,A1022504100945320,충청북도 음성군 대소면 대금로196번길 17-12(대풍리1)코스메카,"","",A
607,A1072504100906113,(2):화성(정남면):경기 화성시 정남면 덕절제기길 13-83,"","",A
606,A1022504100840993,경기도 파주시 문산읍 돈유3로 93(선유리1373-12)케이티솔루션2공장,"","",A
605,A1022504100820935,경기도 이천시 부발읍 중부대로1997번길 46(고백리327-2)푸드올마켓,"","",A
604,A1022504100820935,경기도 광주시 초월읍 산수로 503/케이코리아,"","",A
603,A1022504100058824,경기도 고양시 일산서구 덕산로244번길 53 (덕이동1288-3),"","",D
602,A622504091007566,"2.삼진레베링=구로구 구일로8길150","","",D
601,A7162504091138063,천안 불당 34길 3-10 ,"","",D
600,A1022504091045784,경기도 안성시 고삼면 군내길 22-65,"","",A
599,A1022504091045784,인천광역시 남동구 청능대로 345 (고잔동644-14)제이엠씨,박경준대리,"",D
598,A1022504090915360,인천광역시 남동구 호구포로 562-13 (남촌동23)맑은샘유기농,"","",A
597,A622504080928664,대영수중펌프:경기 화성시 마도면 마도로 421-8,"","",D
596,A7162504071626645,논현로18길 10-12,"","",D
595,A6712504071624627,"2.네추럴웨이2공장=포천시 군내면 용정경제로1길 48-60","","",D
594,A1022504070251095,충청북도 음성군 대소면 산내로 104(내산리21)호연,"","",A
593,A7232504042355544,경광주 중대동,"","",D
592,A7232504042222483,파주 더 운정(파주 현장),"","",A
591,A6712504041752437,"2.부천시 원미구 옥산로226(도당동161-3)","","",D
590,A622504041508910,지솔루션테크-인천 계양구 서운산업로 41번길 15,최종인이사님,"",A
589,A6712504041007768,"2.부국철강=광주 광산구 하남산단9번로 90(안청동)",이대로 대리님,"",D
588,A622504040927537,"2.세하=다산동","","",D
587,A1022504020923231,경기도 하남시 초일로 105 (초일동200)제일훼밀리,"","",A
586,A1022504031801752,충청북도 청주시 청원구 충청대로 13 (내덕동172-115),"","",A
585,A6712504031732705,"2.남양주시 석실로 587번지","","",D
584,A622504031437864,"2.한국방화문=경기 파주시 법원읍 자운서원로 307-62=031-942-0823","","",D
583,A622504031137931,인천시 남동구 능허대로 577번길 158 1층 좌측,"","",D
582,A622504030925318,동원창호=경기도 안성시 대덕면 소내리110번지/031-859-2345,"","",D
581,A6712504021718512,"2.대광케미칼=대구 서구 이현동42-226","","",D
580,A622504021433634,"2)경남 창원시 진해구 청안로 36-3 삼정 글로텍 /055-715-8967","","",A
579,A6712504011705404,"2.부국철강=광주 광산구 하남산단9번로90(안청동)","","",D
578,A1072504010936365,"(2)아팩:경기도 안산시 단원구 만해로230번길 18,1층(성곡동,반월공단604블럭 14호)","","",A
577,A1022504010918256,오산시가장산업서북로40-26(가장동387-4)이지코스,"","",A
576,A1022504010159794,경기도 평택시 비전1로 4 (비전동796) 평택진우아파트,"","",A
575,A1022503311132355,인천광역시 서구 이든1로 21 (오류동1633-11)비앤비코리아2공장,"","",A
573,A1022503310222113,경기도 시흥시 엠티브이25로20번길 3 (정왕동2662-9)신화콘텍,"","",A
